Style,Season,NeckLine,SleeveLength,Material,FabricType,Pattern,Weather,Temperature,ImageLink,Jewelry,footwear
Casual,Summer,backless,sleevless,chiffonfabric,chiffon,,hot,35.0,https://ae01.alicdn.com/kf/HTB12jyqgIj_B1NjSZFHq6yDWpXaw/2018-Womens-Boho-Style-Fashion-Summer-Backless-Sleeveless-Chiffon-Halter-Blouses-Floral-Printed-Slim-Blusas-Tops.jpg,https://th.bing.com/th/id/R.daf394d1011dbef7c0b86576798cbfbc?rik=b%2bduwt7Mzb5QBQ&riu=http%3a%2f%2fwww.spurwesternwear.com%2fimages%2fcategory%2ficon%2f23.jpg&ehk=SXasHUwE76ggf2NiDgSp2sXF3tGZzsLURGW9zAh2R3k%3d&risl=&pid=ImgRaw&r=0,"https://www.jiomart.com/images/product/original/rvxnmhqf5e/gulmeren-women-s-ethnic-slip-on-flat-chappals-embellished-traditional-footwear-product-images-rvxnmhqf5e-2-202311061907.jpg?im=Resize=(500,630)"
sexy,Automn,open,short,lace,,print,moderate,25.0,https://fiver.media/cdn-thumb/800x1200/e5p/images/mu/2021/03/14/short-puff-sleeve-tiered-dress-blue-155343-4.jpg,https://i.pinimg.com/originals/3e/f4/b0/3ef4b0d41929f05e409b5a99c1d96d2a.jpg,https://c.ndtvimg.com/2022-11/k4cr64b_fashion_625x300_09_November_22.jpg
work,Automn,slash-neck,sleevless,polyster,,patchwork,cool,20.0,https://5.imimg.com/data5/SELLER/Default/2021/3/RQ/MV/LG/110799865/5-1000x1000.JPG,https://th.bing.com/th/id/R.60f9cee4ea6a547ded28b3a8276f310f?rik=G0RRU6%2f%2bgrniew&riu=http%3a%2f%2fjewelry.selbermachendeko.com%2fwp-content%2fuploads%2f2019%2f07%2fCowgirl-BLING-Copper-Tone-CONCHO-NECKLACE-set-Southwestern-Gypsy-Western.jpg&ehk=i2IvsZvFT47Ps3wQKoPEhr1SFwRQiJ85g9T9MYYCO8M%3d&risl=&pid=ImgRaw&r=0,https://www.stylecraze.com/wp-content/uploads/2017/03/Peep-toes.jpg
Casual,Winter,slash-neck,halfsleeve,nylon,broadcloth,,cool,18.0,"https://cdn.shortpixel.ai/client/q_glossy,ret_img,w_1365,h_2048/https://www.le-parole.com/wp-content/uploads/2019/05/MG_7081-1365x2048.jpg",https://www.fnp.com/images/pr/x/v20220613151011/estele-american-diamond-pendant-necklace-set_1.jpg,"https://assets.myntassets.com/dpr_1.5,q_60,w_400,c_limit,fl_progressive/assets/images/23361762/2023/6/8/235ba2f5-3f38-4d07-b21e-c4f64b75f7821686222601465-Shezone-Embellished-Comfort-Heels-7901686222601376-11.jpg"
party,Spring,o-neck,halfsleeve,,shiffon,patchwork,moderate,28.0,https://i.pinimg.com/originals/da/71/9c/da719c31a8e72c532807a9b9f19afbc3.jpg,https://www.cattlekate.com/assets/store/products/cropped/291401.jpg,https://cdn.shopify.com/s/files/1/0267/7728/8764/products/stately-black-leatherette-loafers-odette-1_8007bd7a-bb23-4c6d-a6dd-be0059570cc3_465x.jpg?v=1674738318
vintage,Automn,o-neck,full,,worsted,solid,cool,22.0,https://i.pinimg.com/originals/de/46/ee/de46ee644d831961cdfe96544bc75dca.jpg,https://www.fnp.com/images/pr/x/v20230121180756/panash-queen-jewellery-set_1.jpg,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/6/9/698ccf7CL-DOL-Wn-07BEIGE_2.jpg?tr=w-512
Casual,Winter,vneck,butterfly,,chiffon,striped,cool,10.0,https://ae01.alicdn.com/kf/HTB1MQ0nT9zqK1RjSZFHq6z3CpXa0/SHEIN-Single-Breasted-Split-Hem-Daisy-Print-Tea-Boho-Dress-Women-V-Neck-High-Waist-Summer.jpg,https://www.fnp.com/images/pr/x/v20220613151011/estele-american-diamond-pendant-necklace-set_3.jpg,https://rukminim2.flixcart.com/image/850/1000/jtbtt3k0/sandal/q/m/g/35-3911-39-mochi-28-antique-gold-original-imafezh6cmegu8gj.jpeg?q=90
bohemian,Summer,v-neck,short,cotton,,solid,hot,35.0,https://thenmozhidesigns.com/cdn/shop/products/3S2A6677copy.jpg?v=1691574285&width=500,https://www.fnp.com/images/pr/x/v20220613151011/estele-american-diamond-pendant-necklace-set_1.jpg,https://cdn.shopify.com/s/files/1/0254/9592/8868/files/the-shorse-white-women-s-dress-wedge-sandals-tresmode-tresmode-1_large.jpg?v=1717502867
Casual,Winter,oneck,sleevless,polyster,chiffon,plaid,cool,15.0,https://ae01.alicdn.com/kf/H7010e757996f4c93bcf8f8de0c87ac37p.jpg,https://artboxjewel.com/images/product/detail/33896-N-SILVEROX-TURQUOISE.jpg,https://rukminim2.flixcart.com/image/850/1000/jtbtt3k0/sandal/q/m/g/35-3911-39-mochi-28-antique-gold-original-imafezh6cmegu8gj.jpeg?q=90
Casual,Summer,o-neck,short,,,patchwork,hot,30.0,https://www.culturalindia.net/iliimages/Kurta-The-Traditional-Indian-Wear-1.jpg,https://img1.etsystatic.com/132/0/12054376/il_fullxfull.1065255903_r84q.jpg,https://m.media-amazon.com/images/I/71koTD6hz-L._AC_UY1000_.jpg
vintage,Summer,o-neck,capsleeves,,,,hot,30.0,https://cdn.shopclues.com/images/detailed/28633/KT1104011_1450252700.jpg,https://i.pinimg.com/originals/de/62/cb/de62cbc355ea6c7937d6ef9f941a3dc0.jpg,https://miro.medium.com/v2/resize:fit:810/1*_ohXifpHdrGLhKbUv-etBA.jpeg
party,Spring,Sweetheart,sleevless,nylon,,,mild,25.0,https://i.pinimg.com/originals/56/c1/67/56c16771d8734a106fbafe2e96e504a6.jpg,https://ae01.alicdn.com/kf/HTB1i_LzXpzsK1Rjy1Xbq6xOaFXa5/Luxury-Vintage-Large-Jewelry-Set-Necklace-Earrings-Maxi-Women-Pendent-CHEAP-Fashion-Collares-Statement-F1014-with.jpg,https://tiimg.tistatic.com/fp/3/007/901/comfortable-lightweight-casual-wear-white-ladies-shoes-295.jpg
Casual,Automn,o-neck,sleevless,polyster,,solid,mild,20.0,https://d2x02matzb08hy.cloudfront.net/img/clothing/hero_image/781211442/TB1763a.JPG,https://i.pinimg.com/originals/aa/04/a7/aa04a7cab6c6e07d405d88aa54fa4ee1.jpg,https://img.tatacliq.com/images/i12/437Wx649H/MP000000018540992_437Wx649H_202308020632331.jpeg
Casual,Winter,v-neck,full,chiffonfabric,chiffon,,cool,10.0,https://imgshopimages.lbb.in/catalog/product/1/_/1_272_1319.jpg,https://westcoastcg.com/cdn/shop/products/product-image-179764111_1024x1024.jpg?v=1571439693,https://www.stylecraze.com/wp-content/uploads/2017/03/Peep-toes.jpg
Casual,Summer,o-neck,short,cotton,jersey,solid,hot,35.0,https://imgshopimages.lbb.in/catalog/product/1/_/1_272_1319.jpg,https://westcoastcg.com/cdn/shop/products/product-image-179764111_1024x1024.jpg?v=1571439693,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/12/4/fd9aeecc-1437-42f3-89d8-c4a9d31b2d0f.jpg
Casual,Summer,v-neck,thressqatar,cotton,,print,hot,35.0,https://i.pinimg.com/736x/d5/51/ef/d551ef7f444e5cb4a168b1d16ed269cf.jpg,https://bluetortoisewholesale.com/wp-content/uploads/2020/07/IMG_0907.jpg,https://wforwoman.com/content/wp-content/uploads/2017/09/ethnic-sandals-10.jpg
Casual,Summer,o-neck,sleevless,,,,hot,35.0,https://ae01.alicdn.com/kf/HTB12jyqgIj_B1NjSZFHq6yDWpXaw/2018-Womens-Boho-Style-Fashion-Summer-Backless-Sleeveless-Chiffon-Halter-Blouses-Floral-Printed-Slim-Blusas-Tops.jpg,https://th.bing.com/th/id/R.daf394d1011dbef7c0b86576798cbfbc?rik=b%2Bduwt7Mzb5QBQ&riu=http%3A%2F%2Fwww.spurwesternwear.com%2Fimages%2Fcategory%2Ficon%2F23.jpg&ehk=SXasHUwE76ggf2NiDgSp2sXF3tGZzsLURGW9zAh2R3k%3D&risl=&pid=ImgRaw&r=0,https://i.pinimg.com/236x/09/7e/49/097e49f0f13eee6bfa49d65849a74c91--agaves.jpg
Casual,Automn,o-neck,short,polyster,,print,mild,20.0,https://5.imimg.com/data5/SELLER/Default/2021/2/VC/KF/NR/61254914/5-500x500.jpg,https://images.meesho.com/images/products/171352811/ld1ew_512.webp,https://rukminim2.flixcart.com/image/450/500/xif0q/sandal/y/s/b/8-combo-pmp-1947-1948-bersache-multicolor-original-imagztfz2xvmtg8y.jpeg?q=90&crop=falsehttps://www.aroundalways.com/cdn/shop/products/StepeeSandals1.jpg?v=1685634055&width=1445
Brief,Summer,slashneck,sleevless,,,solid,hot,30.0,https://sanideas.com/wp-content/uploads/2020/06/sleeveless-kurti-designs-69680.jpg,https://5.imimg.com/data5/IS/AF/MY-40280996/antique-neckless-set-1000x1000.jpg,https://rukminim2.flixcart.com/image/850/1000/xif0q/sandal/1/e/c/5-aa-1244-5-gloglamp-gold-original-imagrndcpyzyfamg.jpeg?q=90&crop=false
Flare,Spring,v-neck,short,nylon,,animal,mild,25.0,https://i.pinimg.com/originals/a4/32/a2/a432a213b2ba5d47d04987ff6e360389.jpg,https://th.bing.com/th/id/OIF.ufNgCBWVvduds4s8vGAprw?rs=1&pid=ImgDetMain,https://www.fizzygoblet.com/cdn/shop/collections/COVER-3_1200x1200.jpg?v=1615201456
bohemian,Summer,v-neck,sleevless,,,print,hot,35.0,https://ae01.alicdn.com/kf/HTB12jyqgIj_B1NjSZFHq6yDWpXaw/2018-Womens-Boho-Style-Fashion-Summer-Backless-Sleeveless-Chiffon-Halter-Blouses-Floral-Printed-Slim-Blusas-Tops.jpg,https://th.bing.com/th/id/R.daf394d1011dbef7c0b86576798cbfbc?rik=b%2Bduwt7Mzb5QBQ&riu=http%3A%2F%2Fwww.spurwesternwear.com%2Fimages%2Fcategory%2Ficon%2F23.jpg&ehk=SXasHUwE76ggf2NiDgSp2sXF3tGZzsLURGW9zAh2R3k%3D&risl=&pid=ImgRaw&r=0,"https://www.jiomart.com/images/product/original/rvacetisbv/flynce-casual-fashion-chunky-shoes-sneaker-for-women-and-girls-sneakers-shoes-for-women-and-girls-8011-multicolor-uk-ind-8-euro-41-product-images-rvacetisbv-0-202301190243.jpg?im=Resize=(500,630)"
vintage,Summer,o-neck,short,cotton,,print,hot,35.0,https://i.pinimg.com/originals/14/49/7b/14497b51526b084788eb78180d82aef1.jpg,https://th.bing.com/th/id/OIF.UJ0Cde16Wc2vy5GS99PJdw?rs=1&pid=ImgDetMain,https://fcity.in/images/products/52701767/xrbzc_512.jpg
Brief,Summer,v-neck,short,cotton,,solid,hot,35.0,https://n3.sdlcdn.com/imgs/a/w/c/Biba-Pink-Kurta-SDL401028527-1-c14a0.jpg,https://images.bonanzastatic.com/afu/images/3754/6358/74/s-l1600.jpg,https://cdn.shopify.com/s/files/1/0267/7728/8764/files/RS46_2_465x.jpg?v=1697091101
Casual,Summer,v-neck,full,cotton,,solid,hot,35.0,https://www.stylostreet.com/wp-content/uploads/2021/03/Bareeze-Sale-9-683x1024.jpg,https://th.bing.com/th/id/R.1c1ac4a8979fdf4d6d88fd55a0c266db?rik=VernAMYK%2fbOtTw&riu=http%3a%2f%2fwww.rashiinc.com%2fimages%2f1gmgold%2fDSC03154.JPG&ehk=fO3r%2b2P588uvU5%2bACm%2ba3omGzIp9QYo5W058hJmgdBw%3d&risl=&pid=ImgRaw&r=0,"https://assets.myntassets.com/dpr_1.5,q_60,w_400,c_limit,fl_progressive/assets/images/23361762/2023/6/8/235ba2f5-3f38-4d07-b21e-c4f64b75f7821686222601465-Shezone-Embellished-Comfort-Heels-7901686222601376-11.jpg"
Sexy,Winter,o-neck,short,,,solid,mild,20.0,https://fiver.media/cdn-thumb/800x1200/e5p/images/mu/2021/03/14/short-puff-sleeve-tiered-dress-blue-155343-4.jpg,https://trishawaldrondesigns.com/wp-content/uploads/2018/07/ES864.jpg,https://medias.utsavfashion.com/blog/wp-content/uploads/2023/11/90ad2d11042bb276e5ac57d0304efd50.jpg
cute,Summer,o-neck,sleevless,cotton,worsted,print,hot,35.0,https://ae01.alicdn.com/kf/HTB1xxdUcL5TBuNjSspmq6yDRVXak/Dioufond-Sleeveless-Chiffon-Shirt-White-Casual-Female-Blouses-Solid-Summer-2018-Feminine-Blouse-O-Neck-Fashion.jpg,https://th.bing.com/th/id/OIF.gfsVmD3Bae1nYV7NeIs3Yg?rs=1&pid=ImgDetMain,https://m.media-amazon.com/images/I/61bhWwbgCuL._AC_UY1000_.jpg
Casual,Summer,v-neck,sleevless,cotton,chiffon,patchwork,hot,35.0,https://people.com/thmb/5d7OfA-j1sGBbj47SyM7Z2fgqCM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc():focal(749x0:751x2)/xieerduo-v-neck-lace-tank-top-white-floral-beb9a0094a6141b685d7137f947ccb45.jpg,https://th.bing.com/th/id/OIF.PdZvOEJ1QtWC2bB4A9vtVg?rs=1&pid=ImgDetMain,https://wforwoman.com/content/wp-content/uploads/2017/09/ethnic-sandals-10.jpg
Casual,Summer,v-neck,short,cotton,Corduroy,solid,hot,35.0,https://i.pinimg.com/originals/37/14/69/3714697b1c2719ccb57c0daa399ebd93.jpg,https://th.bing.com/th?id=OIF.jj8LDzFj9jwILSYZb%2fEFEw&rs=1&pid=ImgDetMain,"https://www-konga-com-res.cloudinary.com/w_400,f_auto,fl_lossy,dpr_3.0,q_auto/media/catalog/product/B/D/211634_1673509435.jpg"
party,Winter,o-neck,sleevless,polyster,,,cool,10.0,https://i.etsystatic.com/21551417/r/il/4ada3e/2830144942/il_fullxfull.2830144942_940t.jpg,https://th.bing.com/th?id=OIF.%2bmRsQARw0uWUCo4OPY6Frg&rs=1&pid=ImgDetMain,https://kanvas.world/cdn/shop/products/Intricately-Crafted-Magenta-Zardozi-Work-Sneakers-KKSK44-1.jpg?v=1680269261
Casual,Summer,boat-neck,short,,chiffon,patchwork,hot,35.0,https://i.pinimg.com/originals/ba/d5/ff/bad5ff1ca075b463cc58101c844c0b48.jpg,https://aleaccessories.com/wp-content/uploads/2021/10/2221EAD5-3525-4733-8845-CE86357DF250.jpeg,https://5.imimg.com/data5/SELLER/Default/2023/3/292961893/MD/WL/FO/182365761/women-casual-shallow-mouth-shoe-pointed-toe-shoe-working-flat-shoes-500x500.jpg
Sexy,Summer,v-neck,sleevless,,,,hot,35.0,https://i.pinimg.com/originals/94/ad/ff/94adffb560ccf7bfc3fc9ffa20ef0959.jpg,https://ae01.alicdn.com/kf/HTB1_jPJjBDH8KJjSszcq6zDTFXaT/Royal-blue-color-statement-necklace-earrings-set-bridal-wedding-Jewelry-set-For-women-party-rhinestone-Jewelry.jpg,https://availeverything.com/public/uploads/all/9xM4xZczm8ebIROikMfUb7I5tIBPSOVOZnqu4Mfd.jpg
bohemian,Spring,slash-neck,sleevless,,chiffon,solid,mild,25.0,https://5.imimg.com/data5/SELLER/Default/2021/3/RQ/MV/LG/110799865/5-1000x1000.JPG,https://blog.southindiajewels.com/wp-content/uploads/2020/09/diamond-necklace-design-ideas-feature-image-1024x1024.jpg,"https://www.jiomart.com/images/product/original/rvy5osgs3d/gulmeren-women-flats-fashion-slippers-stylish-model-flat-casual-daily-use-product-images-rvy5osgs3d-0-202311061829.jpg?im=Resize=(500,630)"
work,Spring,v-neck,sleevless,,,,mild,25.0,https://n2.sdlcdn.com/imgs/i/6/z/Karigari-Yellow-Cotton-Straight-Kurti-SDL217271488-1-46435.jpg,https://ae01.alicdn.com/kf/HTB1fZprl7omBKNjSZFqq6xtqVXaY/New-Statement-Jewellery-Sets-for-Women-Hollow-Leaves-Pendant-Jewelry-Set-Bridal-Dubai-Gold-Color-Jewelry.jpg,"https://cdn.staticans.com/image/tr:e-sharpen-01,h-300,w-300,cm-pad_resize/data/Regal-Shoes/07feb2024/10005389_1.jpg"
Casual,Spring,o-neck,halfsleeve,,chiffon,,mild,25.0,17fe65b2e0af078806b68a4abfd22fe5.jpg (1380Ã—2070) (pinimg.com),https://trishawaldrondesigns.com/wp-content/uploads/2020/08/ES155.jpg,https://cdn.shopify.com/s/files/1/0254/9592/8868/files/the-shorse-white-women-s-dress-wedge-sandals-tresmode-tresmode-1_large.jpg?v=1717502867
party,Winter,Scoop,short,cotton,lace,,cool,15.0,https://i.pinimg.com/originals/66/eb/2a/66eb2a2d05b30a151428886127627e54.jpg,https://th.bing.com/th/id/R.538eb359fa6e21cc6070f6c8a5c12629?rik=0n2ck5QdmecNRw&riu=http%3a%2f%2fg03.a.alicdn.com%2fkf%2fHTB1YApPKVXXXXbsXpXXq6xXFXXX3%2fWhite-Gold-Plated-Bridal-Jewelry-Sets-Statement-Necklace-And-Earring-Set-Of-Fashion-Jewelry-Women-Accessories.jpg&ehk=4OzV%2fClfRBxmpENpnzXK6k33r02WQfGYnTIwNrCGCPc%3d&risl=&pid=ImgRaw&r=0,https://ebandive.com.au/cdn/shop/files/2534401.jpg?v=1692085812&width=1600
Casual,Automn,v-neck,sleevless,,chiffon,striped,mild,20.0,https://i.pinimg.com/originals/39/33/8d/39338dffb769e1cad3a324b54be97d44.jpg,https://i5.walmartimages.com/asr/7c0e53ae-19ea-49b4-ba59-85e7479f3600_1.a1762a07e37c72f554f7cbbe7c8fda37.jpeg,https://ae01.alicdn.com/kf/S128fa24db8674fe89be73cde26665e95N.jpg_640x640Q90.jpg_.webp
Casual,Spring,o-neck,halfsleeve,,,,mild,25.0,https://images-na.ssl-images-amazon.com/images/I/71DTFYMS0lL._AC_UX522_.jpg,https://i.pinimg.com/474x/52/26/85/5226854e819de630f3033ecc485ea33a.jpg,https://m.media-amazon.com/images/I/61bhWwbgCuL._AC_UY1000_.jpg
Casual,Winter,v-neck,full,cashmere,,solid,cool,10.0,https://content.woolovers.com/img/o/087a7-46862_a3l_eden_w_5.jpg,https://ae01.alicdn.com/kf/HTB18V1rSpXXXXXrXFXXq6xXFXXX5/Red-Jewelry-Sets-Enamel-Jewelry-Statement-Necklace-Set-Earrings-for-Women-Crystal-Jewelry-Set-Fashion-Leaves.jpg,https://5.imimg.com/data5/SELLER/Default/2023/3/292961893/MD/WL/FO/182365761/women-casual-shallow-mouth-shoe-pointed-toe-shoe-working-flat-shoes-500x500.jpg
Sexy,Spring,v-neck,full,cotton,wollen,solid,mild,25.0,https://content.woolovers.com/img/o/087a7-46862_a3l_eden_w_5.jpg,https://pro2-bar-s3-cdn-cf3.myportfolio.com/376977e228c7467d425aad444c14f09a/44172dac3b57c145858f7de7638711fbba8b770b378cbe375e2cef68dcd48111c33c996bbaf9876e_rw_1200.jpg?h=fa55af98daad085191259e37f1e5ab19,https://miro.medium.com/v2/resize:fit:810/1*_ohXifpHdrGLhKbUv-etBA.jpeg
Casual,Summer,v-neck,short,,,print,hot,35.0,https://cdn10.nnnow.com/web-images/preview/styles/ID93S2IT9FU/1559293447709/1.jpg,https://hoelsindianshop.com/wp-content/uploads/2018/01/Rena-F-1.jpg,https://m.media-amazon.com/images/I/61bhWwbgCuL._AC_UY1000_.jpg
Casual,Winter,open,short,mix,poplin,solid,cool,10.0,https://cdn10.nnnow.com/web-images/preview/styles/ID93S2IT9FU/1559293447709/1.jpg,https://i.pinimg.com/originals/71/73/de/7173de987d0b43b778236d221e1d3d16.jpg,https://www.randbfashion.in/on/demandware.static/-/Sites-randb_master_catalog/default/dwc07946d5/large/jtfw06h8cf7x4rp_8905380348372_4.jpg
party,winter,o-neck,sleevless,,,,cool,15.0,https://ae01.alicdn.com/kf/HTB1aBeqcKGSBuNjSspbq6AiipXa3/Wsfs-Summer-Dresses-Gray-Plaid-Oneck-Sleeveless-Women-Dress-Office-Lady-Elegant-Party-Vintage-Bandage-Bodycon.jpg,https://th.bing.com/th/id/R.cdaa1efed9fec7363e5115dfc7ebbda2?rik=%2bybokQLACxi0nA&riu=http%3a%2f%2f2.bp.blogspot.com%2f-x7nqP0Hli7Y%2fTlVI8aK5HKI%2fAAAAAAAABNs%2fH7VRUD5eK6M%2fs1600%2fnecklace-zoom-DSC_9771.jpg&ehk=wk2VUmcI6NsgG4JTfDny9chTWs3cptsHK4jmJ3tsDWI%3d&risl=&pid=ImgRaw&r=0,https://5.imimg.com/data5/UN/HH/TE/SELLER-24658154/deeanne-london-women-s-single-strap-block-heels-125x125.jpg
Sexy,Summer,v-neck,sleevless,,,,hot,35.0,https://i.pinimg.com/originals/34/ca/b3/34cab3b3a8631006b2da0882ee831707.jpg,https://img1.etsystatic.com/043/0/6026609/il_fullxfull.641195157_330p.jpg,https://m.media-amazon.com/images/I/61bhWwbgCuL._AC_UY1000_.jpg
bohemian,Summer,o-neck,sleevless,cotton,broadcloth,print,hot,35.0,https://ae01.alicdn.com/kf/HTB12jyqgIj_B1NjSZFHq6yDWpXaw/2018-Womens-Boho-Style-Fashion-Summer-Backless-Sleeveless-Chiffon-Halter-Blouses-Floral-Printed-Slim-Blusas-Tops.jpg,https://th.bing.com/th/id/R.daf394d1011dbef7c0b86576798cbfbc?rik=b%2Bduwt7Mzb5QBQ&riu=http%3A%2F%2Fwww.spurwesternwear.com%2Fimages%2Fcategory%2Ficon%2F23.jpg&ehk=SXasHUwE76ggf2NiDgSp2sXF3tGZzsLURGW9zAh2R3k%3D&risl=&pid=ImgRaw&r=0,https://m.media-amazon.com/images/I/71koTD6hz-L._AC_UY1000_.jpg
Casual,winter,v-neck,halfsleeve,silk,chiffon,solid,cool,10.0,https://img1.eshakti.com/clothimages/CL0084388MP2.jpg,https://images.meesho.com/images/products/310476876/vljmf_512.webp,https://medias.utsavfashion.com/blog/wp-content/uploads/2023/11/90ad2d11042bb276e5ac57d0304efd50.jpg
Casual,Spring,o-neck,full,polyster,,solid,mild,25.0,https://i.pinimg.com/originals/de/46/ee/de46ee644d831961cdfe96544bc75dca.jpg,https://th.bing.com/th/id/R.6618914f2a51362feb31a547978a92a1?rik=YfqW34WusUNrqw&riu=http%3a%2f%2f3.bp.blogspot.com%2f-p3vE4KIpQ6I%2fTlVJIpTKR6I%2fAAAAAAAABN8%2ffy1GH7SQIjc%2fs1600%2fnecklace-zoom-DSC_9795.jpg&ehk=dl5ozN9arO2eYlQDLraEeJYrUsnadNjJC2CgIUWXrUM%3d&risl=&pid=ImgRaw&r=0,"https://cdn.staticans.com/image/tr:e-sharpen-01,h-300,w-300,cm-pad_resize/data/Regal-Shoes/07feb2024/10005389_1.jpg"
cute,Spring,v-neck,full,rayon,,solid,mild,25.0,https://imgshopimages.lbb.in/catalog/product/1/_/1_272_1319.jpg,https://images.meesho.com/images/products/304118836/5prqp_512.webp,https://img.tatacliq.com/images/i12/437Wx649H/MP000000018540992_437Wx649H_202308020632331.jpeg
party,Spring,v-neck,sleevless,,,,mild,25.0,https://ae01.alicdn.com/kf/HTB1uOmdSFXXXXXiXVXXq6xXFXXXF/Rayon-Solid-Sleeveless-Maxi-Elegant-Dresses.jpg,https://n3.sdlcdn.com/imgs/a/6/a/Beingwomen-Red-Floral-Neckless-Set-SDL251657159-3-2877c.jpg,https://www.stylecraze.com/wp-content/uploads/2017/03/Peep-toes.jpg
Casual,Spring,o-neck,sleevless,cotton,,,mild,25.0,https://i.pinimg.com/originals/fc/28/c8/fc28c849676cf445f5896d6b8df409b1.jpg,https://ae01.alicdn.com/kf/HTB1mcTDJFXXXXXlXpXXq6xXFXXXW/Bridal-Wedding-Party-Quality-White-Simulated-Pearl-Crystal-Necklace-Earrings-Set-Bridesmaid-Jewelry-CS1122.jpg,https://shaadiwish.com/blog/wp-content/uploads/2020/05/bridal-sandals.jpg
bohemian,Winter,turndowncollor,full,mix,,solid,cool,10.0,https://m.media-amazon.com/images/I/61eV7dSA6oL._AC_UY1100_.jpg,https://i5.walmartimages.com/asr/24d3ddb9-41d9-4e45-af46-cf4fb2dc6703.e4268d0061c34a4b1dcf272b6c039b7b.jpeg?odnWidth=1000&odnHeight=1000&odnBg=ffffff,https://rukminim2.flixcart.com/image/450/500/xif0q/shoe/n/6/i/5-flp-816-prpl-5-fabbmate-purple-original-imahyse725bzmeg3.jpeg?q=90&crop=false
Casual,Summer,o-neck,sleevless,cotton,,floral,hot,35.0,https://m.media-amazon.com/images/I/81S9k4nS9ML._AC_UY350_.jpg,https://images.meesho.com/images/products/143924359/hfjzq_512.webp,https://img4.dhresource.com/webp/m/0x0/f3/albu/km/j/09/762dff7e-47d9-4ca3-b677-266f9cbbcdac.jpg
Sexy,Summer,o-neck,short,spandex,jersey,solid,hot,35.0,https://ae01.alicdn.com/kf/Sa66e4106121d45b69613a41a7faa2b3bg.jpg_640x640Q90.jpg_.webp,https://ae01.alicdn.com/kf/HTB1DL78cjQnBKNjSZSgq6xHGXXaF/Fashion-Rhinestone-Costume-Jewelry-Sets-Silver-Crystal-Statement-Necklace-Earrings-Set-For-Bride-Accessories-Wedding-Jewelry.jpg,https://m.media-amazon.com/images/I/61bhWwbgCuL._AC_UY1000_.jpg
Brief,Automn,o-neck,short,cotton,,print,mild,20.0,https://i.pinimg.com/originals/30/7f/5b/307f5bfa67d8e5d8a1bafb6ecf24829c.jpg,https://n2.sdlcdn.com/imgs/a/6/a/Beingwomen-Multicolour-Gold-Plated-Neckless-SDL250270897-2-92289.jpg,https://rukminim2.flixcart.com/image/850/1000/jtbtt3k0/sandal/q/m/g/35-3911-39-mochi-28-antique-gold-original-imafezh6cmegu8gj.jpeg?q=90
